Punto;Distancia;x mE;y mN;z;join_Lito
264;6312.223202;361213.2257;2837861.119;631.88;aluvion
265;6336.224051;361233.2122;2837874.407;631.33;aluvion
266;6360.224899;361253.1987;2837887.695;630.16;aluvion
267;6384.225748;361273.1853;2837900.984;628.99;aluvion
268;6408.226597;361293.1718;2837914.272;628.36;aluvion
269;6432.227445;361313.1583;2837927.56;627.18;aluvion
270;6456.228294;361333.1448;2837940.849;626.01;aluvion
271;6480.229143;361353.1313;2837954.137;625.38;aluvion
272;6504.229991;361373.1179;2837967.425;624.21;aluvion
273;6528.23084;361393.1044;2837980.714;623.03;aluvion
274;6552.231689;361413.0909;2837994.002;622.4;aluvion
275;6576.232537;361433.0774;2838007.29;621.23;aluvion
276;6600.233386;361453.0639;2838020.579;620.06;aluvion
277;6624.234235;361473.0504;2838033.867;620;aluvion
278;6648.235083;361493.037;2838047.155;620;aluvion
279;6672.235932;361513.0235;2838060.444;620;aluvion
280;6696.236781;361533.01;2838073.732;620;aluvion
281;6720.237629;361552.9965;2838087.02;619.52;aluvion
282;6744.238478;361572.983;2838100.309;618.81;aluvion
283;6768.239327;361592.9696;2838113.597;618.46;aluvion
284;6792.240175;361612.9561;2838126.885;617.75;aluvion
285;6816.241024;361632.9426;2838140.174;617.04;aluvion
286;6840.241873;361652.9291;2838153.462;616.69;aluvion
287;6864.242721;361672.9156;2838166.75;615.98;aluvion
288;6888.24357;361692.9021;2838180.039;615.27;aluvion
289;6912.244419;361712.8887;2838193.327;614.92;aluvion
290;6936.245267;361732.8752;2838206.615;614.21;aluvion
291;6960.246116;361752.8617;2838219.904;613.5;aluvion
292;6984.246965;361772.8482;2838233.192;613.17;aluvion
293;7008.247814;361792.8347;2838246.48;612.55;aluvion
294;7032.248662;361812.8213;2838259.769;611.93;aluvion
295;7056.249511;361832.8078;2838273.057;611.74;aluvion
296;7080.25036;361852.7943;2838286.345;611.13;aluvion
297;7104.251208;361872.7808;2838299.634;610.52;aluvion
298;7128.252057;361892.7673;2838312.922;610.36;aluvion
299;7152.252906;361912.7539;2838326.21;609.78;aluvion
300;7176.253754;361932.7404;2838339.499;609.19;aluvion
301;7200.254603;361952.7269;2838352.787;609.06;aluvion
302;7224.255452;361972.7134;2838366.075;608.47;aluvion
303;7248.2563;361992.6999;2838379.364;607.88;aluvion
304;7272.257149;362012.6864;2838392.652;607.59;aluvion
305;7296.257998;362032.673;2838405.94;606.84;aluvion
306;7320.258846;362052.6595;2838419.229;606.09;aluvion
307;7344.259695;362072.646;2838432.517;605.74;aluvion
308;7368.260544;362092.6325;2838445.805;604.99;aluvion
309;7392.261392;362112.619;2838459.094;604.24;aluvion
310;7416.262241;362132.6056;2838472.382;603.89;aluvion
311;7440.26309;362152.5921;2838485.67;603.13;aluvion
312;7464.263938;362172.5786;2838498.959;602.38;aluvion
313;7488.264787;362192.5651;2838512.247;602.03;aluvion
314;7512.265636;362212.5516;2838525.535;601.28;aluvion
315;7536.266484;362232.5381;2838538.824;600.53;aluvion
316;7560.267333;362252.5247;2838552.112;600.18;aluvion
317;7584.268182;362272.5112;2838565.4;600;aluvion
318;7608.26903;362292.4977;2838578.689;600;aluvion
319;7632.269879;362312.4842;2838591.977;600;aluvion
320;7656.270728;362332.4707;2838605.265;600;aluvion
321;7680.271576;362352.4573;2838618.554;600;aluvion
322;7704.272425;362372.4438;2838631.842;600;aluvion
323;7728.273274;362392.4303;2838645.13;599.94;aluvion
324;7752.274122;362412.4168;2838658.419;599.71;aluvion
325;7776.274971;362432.4033;2838671.707;599.12;aluvion
326;7800.27582;362452.3898;2838684.995;598.53;aluvion
327;7824.276669;362472.3764;2838698.284;598.36;aluvion
328;7848.277517;362492.3629;2838711.572;597.89;aluvion
329;7872.278366;362512.3494;2838724.86;597.43;aluvion
330;7896.279215;362532.3359;2838738.149;597.35;aluvion
331;7920.280063;362552.3224;2838751.437;596.88;aluvion
332;7944.280912;362572.309;2838764.725;596.37;aluvion
333;7968.281761;362592.2955;2838778.014;596.13;aluvion
334;7992.282609;362612.282;2838791.302;595.62;aluvion
335;8016.283458;362632.2685;2838804.59;595.11;aluvion
336;8040.284307;362652.255;2838817.879;594.86;aluvion
337;8064.285155;362672.2416;2838831.167;594.36;aluvion
338;8088.286004;362692.2281;2838844.455;593.85;aluvion
339;8112.286853;362712.2146;2838857.744;593.6;aluvion
340;8136.287701;362732.2011;2838871.032;593.09;aluvion
341;8160.28855;362752.1876;2838884.32;592.58;aluvion
342;8184.289399;362772.1741;2838897.609;592.34;aluvion
343;8208.290247;362792.1607;2838910.897;591.83;aluvion
344;8232.291096;362812.1472;2838924.185;591.32;aluvion
345;8256.291945;362832.1337;2838937.474;591.16;aluvion
346;8280.292793;362852.1202;2838950.762;590.68;aluvion
347;8304.293642;362872.1067;2838964.05;590.19;aluvion
348;8328.294491;362892.0933;2838977.339;589.98;aluvion
349;8352.295339;362912.0798;2838990.627;589.5;aluvion
350;8376.296188;362932.0663;2839003.915;589.01;aluvion
351;8400.297037;362952.0528;2839017.204;588.81;aluvion
352;8424.297885;362972.0393;2839030.492;588.32;aluvion
353;8448.298734;362992.0258;2839043.78;587.83;aluvion
354;8472.299583;363012.0124;2839057.069;587.67;aluvion
355;8496.300431;363031.9989;2839070.357;587.24;aluvion
356;8520.30128;363051.9854;2839083.645;586.82;aluvion
357;8544.302129;363071.9719;2839096.934;586.71;aluvion
358;8568.302977;363091.9584;2839110.222;586.48;aluvion
359;8592.303826;363111.945;2839123.51;586.89;aluvion
360;8616.304675;363131.9315;2839136.799;587.74;aluvion
361;8640.305524;363151.918;2839150.087;588.15;aluvion
362;8664.306372;363171.9045;2839163.375;588.56;aluvion
363;8688.307221;363191.891;2839176.664;589.41;aluvion
364;8712.30807;363211.8775;2839189.952;589.82;aluvion
365;8736.308918;363231.8641;2839203.24;590.23;aluvion
366;8760.309767;363251.8506;2839216.529;591.08;aluvion
367;8784.310616;363271.8371;2839229.817;591.49;aluvion
368;8808.311464;363291.8236;2839243.105;591.9;aluvion
369;8832.312313;363311.8101;2839256.394;592.75;aluvion
370;8856.313162;363331.7967;2839269.682;593.16;aluvion
371;8880.31401;363351.7832;2839282.97;593.57;aluvion
372;8904.314859;363371.7697;2839296.259;594.43;aluvion
373;8928.315708;363391.7562;2839309.547;594.83;aluvion
374;8952.316556;363411.7427;2839322.835;595.24;aluvion
375;8976.317405;363431.7293;2839336.124;596.1;aluvion
376;9000.318254;363451.7158;2839349.412;596.51;aluvion
377;9024.319102;363471.7023;2839362.7;596.92;aluvion
378;9048.319951;363491.6888;2839375.989;597.77;aluvion
379;9072.3208;363511.6753;2839389.277;600.28;aluvion
380;9096.321648;363531.6618;2839402.565;606.07;aluvion
381;9120.322497;363551.6484;2839415.854;608.6;aluvion
382;9144.323346;363571.6349;2839429.142;614.43;aluvion
383;9168.324194;363591.6214;2839442.43;620.53;Lutita-Caliza
384;9192.325043;363611.6079;2839455.719;626.86;Lutita-Caliza
385;9216.325892;363631.5944;2839469.007;636.42;Lutita-Caliza
386;9240.32674;363651.581;2839482.295;646.93;Lutita-Caliza
387;9264.327589;363671.5675;2839495.584;651.27;Lutita-Caliza
388;9288.328438;363691.554;2839508.872;660;Lutita-Caliza
389;9312.329286;363711.5405;2839522.16;660;Lutita-Caliza
390;9336.330135;363731.527;2839535.449;660;Lutita-Caliza
391;9360.330984;363751.5135;2839548.737;650.77;Lutita-Caliza
392;9384.331832;363771.5001;2839562.025;638.47;Lutita-Caliza
393;9408.332681;363791.4866;2839575.314;633.4;Lutita-Caliza
394;9432.33353;363811.4731;2839588.602;621.48;Lutita-Caliza
395;9456.334379;363831.4596;2839601.89;613.04;Lutita-Caliza
396;9480.335227;363851.4461;2839615.179;609.53;Lutita-Caliza
397;9504.336076;363871.4327;2839628.467;601.49;Lutita-Caliza
398;9528.336925;363891.4192;2839641.755;597.56;Lutita-Caliza
399;9552.337773;363911.4057;2839655.044;596.19;Lutita-Caliza
400;9576.338622;363931.3922;2839668.332;593.2;Lutita-Caliza
401;9600.339471;363951.3787;2839681.62;590.22;Lutita-Caliza
402;9624.340319;363971.3653;2839694.909;588.95;Lutita-Caliza
403;9648.341168;363991.3518;2839708.197;585.98;Lutita-Caliza
404;9672.342017;364011.3383;2839721.485;583.01;Lutita-Caliza
405;9696.342865;364031.3248;2839734.774;581.69;Lutita-Caliza
406;9720.343714;364051.3113;2839748.062;579.31;Lutita-Caliza
407;9744.344563;364071.2978;2839761.35;577.41;Lutita-Caliza
408;9768.345411;364091.2844;2839774.639;576.83;Lutita-Caliza
409;9792.34626;364111.2709;2839787.927;574.94;aluvion
410;9816.347109;364131.2574;2839801.215;573.16;aluvion
411;9840.347957;364151.2439;2839814.504;572.73;aluvion
412;9864.348806;364171.2304;2839827.792;570.87;aluvion
413;9888.349655;364191.217;2839841.08;569.03;aluvion
414;9912.350503;364211.2035;2839854.369;568.5;aluvion
415;9936.351352;364231.19;2839867.657;566.65;aluvion
416;9960.352201;364251.1765;2839880.945;564.8;aluvion
417;9984.353049;364271.163;2839894.234;564.25;aluvion
418;10008.3539;364291.1495;2839907.522;562.33;aluvion
419;10032.35475;364311.1361;2839920.81;560.39;aluvion
420;10056.3556;364331.1226;2839934.099;560;aluvion
421;10080.35644;364351.1091;2839947.387;560;aluvion
422;10104.35729;364371.0956;2839960.675;560;aluvion
423;10128.35814;364391.0821;2839973.964;560;aluvion
424;10152.35899;364411.0687;2839987.252;560;aluvion
425;10176.35984;364431.0552;2840000.54;560;aluvion
426;10200.36069;364451.0417;2840013.829;560;aluvion
427;10224.36154;364471.0282;2840027.117;561.55;aluvion
428;10248.36238;364491.0147;2840040.405;563.53;aluvion
429;10272.36323;364511.0012;2840053.694;564.22;aluvion
430;10296.36408;364530.9878;2840066.982;566.2;aluvion
431;10320.36493;364550.9743;2840080.271;568.17;aluvion
432;10344.36578;364570.9608;2840093.559;568.32;aluvion
433;10368.36663;364590.9473;2840106.847;570.68;aluvion
434;10392.36748;364610.9338;2840120.136;573.22;aluvion
435;10416.36833;364630.9204;2840133.424;573.55;aluvion
436;10440.36917;364650.9069;2840146.712;576.23;aluvion
437;10464.37002;364670.8934;2840160.001;578.93;aluvion
438;10488.37087;364690.8799;2840173.289;579.17;aluvion
439;10512.37172;364710.8664;2840186.577;580;aluvion
440;10536.37257;364730.853;2840199.866;580.15;aluvion
441;10560.37342;364750.8395;2840213.154;580.52;aluvion
442;10584.37427;364770.826;2840226.442;583.14;aluvion
443;10608.37511;364790.8125;2840239.731;586.59;aluvion
444;10632.37596;364810.799;2840253.019;587.68;aluvion
445;10656.37681;364830.7855;2840266.307;591.13;aluvion
446;10680.37766;364850.7721;2840279.596;594.58;aluvion
447;10704.37851;364870.7586;2840292.884;595.66;aluvion
448;10728.37936;364890.7451;2840306.172;599.12;aluvion
449;10752.38021;364910.7316;2840319.461;605.56;aluvion
450;10776.38106;364930.7181;2840332.749;608.19;aluvion
451;10800.3819;364950.7047;2840346.037;616.19;aluvion
452;10824.38275;364970.6912;2840359.326;626.14;aluvion
453;10848.3836;364990.6777;2840372.614;630.54;aluvion
454;10872.38445;365010.6642;2840385.902;640;aluvion
455;10896.3853;365030.6507;2840399.191;640;Lutita-Caliza
456;10920.38615;365050.6372;2840412.479;640;Lutita-Caliza
457;10944.387;365070.6238;2840425.767;635.12;Lutita-Caliza
458;10968.38785;365090.6103;2840439.056;622.04;Lutita-Caliza
459;10992.38869;365110.5968;2840452.344;615.98;Lutita-Caliza
460;11016.38954;365130.5833;2840465.632;605.35;Lutita-Caliza
461;11040.39039;365150.5698;2840478.921;597.16;Lutita-Caliza
462;11064.39124;365170.5564;2840492.209;593.75;Lutita-Caliza
463;11088.39209;365190.5429;2840505.497;588;Lutita-Caliza
